Sample,x,y
1,862.5,31.436417
1,863.88,32.778122
1,865.26,33.895554
1,866.64,34.65284
1,868.02,35.114548
1,869.4,35.36898
1,870.78,35.441727
1,872.16,35.330185
1,873.54,35.078209
1,874.92,34.781662
1,876.3,34.504608
1,877.68,34.308365
1,879.06,34.23024
1,880.44,34.243301
1,881.82,34.303009
1,883.2,34.378944
1,884.58,34.453293
1,885.96,34.519333
1,887.34,34.580116
1,888.72,34.642372
1,890.1,34.71077
1,891.48,34.786499
1,892.86,34.867577
1,894.24,34.950783
1,895.62,35.03656
1,897,16.842258
1,898.38,3.644105
1,899.76,-8.109514
1,901.14,-20.767368
1,902.52,-23.679178
1,903.9,-23.828463
1,905.28,-16.263388
1,906.66,-12.276997
1,908.04,16.746172
1,909.42,40.102345
1,910.8,60.353664
1,912.18,84.844055
1,913.56,85.065369
1,914.94,85.213364
1,916.32,85.296188
1,917.7,85.316605
1,919.08,85.274353
1,920.46,85.160492
1,921.84,80.140411
1,923.22,78.343292
1,924.6,72.037857
1,925.98,69.566246
1,927.36,64.378677
1,928.74,62.92012
1,930.12,61.38327
1,931.5,60.260071
1,932.88,59.513733
1,934.26,53.201618
1,935.64,44.623665
1,937.02,36.295143
1,938.4,26.450203
1,939.78,20.903
1,941.16,16.195183
1,942.54,9.089142
1,943.92,9.118721
1,945.3,9.123009
1,946.68,9.06752
1,948.06,8.902206
1,949.44,8.547539
1,950.82,7.904526
1,952.2,6.958038
1,953.58,5.859299
1,954.96,4.803696
1,956.34,3.927299
1,957.72,3.140648
1,959.1,2.012474
1,960.48,0.259094
1,961.86,-1.257477
1,963.24,-4.372627
1,964.62,-6.899055
1,966,-8.006126
1,967.38,-8.612122
1,968.76,-9.073715
1,970.14,-9.516502
1,971.52,-10.00634
1,972.9,-11.463109
1,974.28,-12.863082
1,975.66,-14.256551
1,977.04,-15.567052
